"Day","01","02","03","04","05","06","07","08","09","10","11","12"
1,1642,1721,1800,1841,1918,1952,2003,1938,1849,1752,1700,1632
2,1643,1722,1802,1842,1920,1953,2002,1937,1847,1750,1659,1632
3,1644,1724,1803,1843,1921,1954,2002,1936,1845,1749,1657,1632
4,1645,1725,1804,1844,1922,1954,2002,1934,1843,1747,1656,1632
5,1646,1727,1806,1846,1923,1955,2001,1933,1842,1745,1655,1631
6,1647,1728,1807,1847,1924,1956,2001,1932,1840,1743,1654,1631
7,1648,1730,1808,1848,1926,1957,2001,1930,1838,1741,1652,1631
8,1649,1731,1810,1849,1927,1957,2000,1929,1836,1739,1651,1631
9,1650,1732,1811,1851,1928,1958,2000,1927,1834,1738,1650,1631
10,1652,1734,1812,1852,1929,1958,1959,1926,1832,1736,1649,1631
11,1653,1735,1814,1853,1930,1959,1959,1924,1830,1734,1648,1631
12,1654,1737,1815,1854,1932,1959,1958,1923,1828,1732,1647,1631
13,1655,1738,1816,1856,1933,2000,1957,1921,1826,1731,1645,1631
14,1656,1740,1818,1857,1934,2000,1957,1920,1825,1729,1644,1631
15,1658,1741,1819,1858,1935,2001,1956,1918,1823,1727,1643,1632
16,1659,1742,1820,1859,1936,2001,1955,1917,1821,1725,1642,1632
17,1700,1744,1821,1901,1937,2002,1954,1915,1819,1724,1642,1632
18,1702,1745,1823,1902,1938,2002,1953,1913,1817,1722,1641,1633
19,1703,1747,1824,1903,1939,2002,1953,1912,1815,1720,1640,1633
20,1704,1748,1825,1905,1941,2002,1952,1910,1813,1719,1639,1633
21,1706,1749,1827,1906,1942,2003,1951,1908,1811,1717,1638,1634
22,1707,1751,1828,1907,1943,2003,1950,1907,1809,1715,1637,1635
23,1708,1752,1829,1908,1944,2003,1949,1905,1807,1714,1637,1635
24,1710,1754,1830,1910,1945,2003,1948,1903,1806,1712,1636,1636
25,1711,1755,1832,1911,1946,2003,1947,1901,1804,1711,1635,1636
26,1712,1756,1833,1912,1947,2003,1946,1900,1802,1709,1635,1637
27,1714,1758,1834,1913,1948,2003,1945,1858,1800,1708,1634,1638
28,1715,1759,1836,1915,1949,2003,1943,1856,1758,1706,1634,1639
29,1717,NA,1837,1916,1949,2003,1942,1854,1756,1705,1633,1639
30,1718,NA,1838,1917,1950,2003,1941,1853,1754,1703,1633,1640
31,1720,NA,1839,NA,1951,NA,1940,1851,NA,1702,NA,1641
